,age,attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,employeenumber,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager,datebirth,salary,roledepartament,remotework
62,36,no,non-travel,685.6984126984128,,6,4,,63,2,M,,1,2,research scientist,4,,5538.33,14399.67,1,,13,3.0,2,full time,0,,3,3.0,17,,11,8,1988,66460.0,,
63,34,no,travel_frequently,556.2566609977324,,6,3,life sciences,64,3,M,,3,2,healthcare representative,4,divorced,4492.84,11681.39,3,no,23,4.0,3,part time,1,15.0,2,1.0,13,,4,7,1990,53914.11,,
64,51,no,travel_rarely,1441.65873015873,research & development,24,3,,65,4,M,,3,4,manufacturing director,3,married,11644.17,30274.83,3,yes,18,3.0,4,full time,1,22.0,2,3.0,12,,1,5,1973,139730.0,manufacturing director  -  research & development,
65,49,no,travel_rarely,1032.4872861766066,,4,4,,66,3,M,,2,3,healthcare representative,3,single,8339.32,21682.23,7,,14,,2,part time,0,27.0,3,3.0,15,11.0,4,8,1975,100071.84,,
66,45,no,travel_rarely,1374.2857142857142,sales,28,3,,67,4,F,,4,4,sales executive,4,married,11100.0,28860.0,3,,18,3.0,3,,1,,2,3.0,12,,11,11,1979,133200.0,sales executive  -  sales,si
67,45,no,travel_rarely,556.2566609977324,,29,4,,68,4,M,69.53208262471655,3,2,research scientist,4,single,4492.84,11681.39,1,,25,4.0,2,part time,0,,3,3.0,20,,13,17,1979,53914.11,,
68,41,no,non-travel,556.2566609977324,,25,1,,69,2,F,,4,2,healthcare representative,3,,4492.84,11681.39,5,no,20,4.0,2,part time,3,15.0,0,3.0,12,,11,8,1983,53914.11,,
69,35,no,travel_rarely,689.9285714285714,,2,4,,70,3,F,86.24107142857143,3,2,healthcare representative,4,single,5572.5,14488.5,1,,11,3.0,4,full time,0,14.0,2,4.0,14,,4,11,1989,66870.0,,
70,36,no,non-travel,556.2566609977324,research & development,8,4,,71,3,F,,3,2,healthcare representative,3,,4492.84,11681.39,1,,12,3.0,4,part time,1,,5,3.0,14,,2,9,1988,53914.11,healthcare representative  -  research & development,
71,51,no,non-travel,1032.4872861766066,,17,5,life sciences,72,4,F,,2,3,research director,1,,8339.32,21682.23,5,no,15,3.0,3,part time,3,,3,3.0,14,11.0,1,11,1973,100071.84,,no
72,50,no,non-travel,1582.7713464696226,,6,1,life sciences,73,3,F,197.8464183087028,2,4,healthcare representative,3,,12783.92,33238.2,2,,19,3.0,2,full time,1,,3,3.0,15,,2,12,1974,153407.07,,
73,39,no,travel_frequently,488.531746031746,,1,3,life sciences,74,4,M,61.06646825396825,3,2,research scientist,4,,3945.83,10259.17,7,no,15,3.0,4,part time,2,19.0,4,,13,,2,9,1985,47350.0,,
74,34,no,non-travel,290.03550973654063,,21,3,,75,2,M,,4,1,laboratory technician,2,,2342.59,6090.75,1,no,18,3.0,4,part time,3,14.0,6,,14,,2,13,1990,28111.13,,
75,48,no,travel_rarely,1032.4872861766066,,4,3,life sciences,76,3,F,,2,3,manufacturing director,2,divorced,8339.32,21682.23,8,yes,12,,3,part time,1,,4,3.0,22,,14,10,1976,100071.84,,
76,39,no,non-travel,556.2566609977324,research & development,8,3,,77,4,F,,2,2,research scientist,2,divorced,4492.84,11681.39,1,,16,3.0,3,,1,20.0,3,3.0,20,,0,7,1985,53914.08,research scientist  -  research & development,no
77,38,no,travel_rarely,1032.4872861766066,,10,3,life sciences,78,3,F,,4,3,research director,4,,8339.32,21682.23,1,yes,25,4.0,1,part time,1,16.0,2,3.0,16,,6,8,1986,100071.84,,
78,31,no,non-travel,556.2566609977324,,2,3,,79,3,M,,2,2,healthcare representative,4,married,4492.84,11681.39,1,no,19,,1,part time,3,11.0,3,3.0,11,,10,8,1993,53914.11,,
79,59,no,travel_rarely,1431.2380952380954,,18,4,,80,4,M,,3,4,sales executive,3,single,11560.0,30056.0,0,,13,3.0,3,full time,0,38.0,1,2.0,37,,1,8,1965,138720.0,,si
80,35,no,travel_rarely,1032.4872861766066,,5,3,,81,3,F,,2,3,manager,1,single,8339.32,21682.23,2,,12,3.0,4,,0,14.0,6,3.0,11,,5,8,1989,100071.84,,no
81,59,yes,travel_rarely,1032.4872861766066,,23,4,medical,82,4,F,,3,3,healthcare representative,4,married,8339.32,21682.23,1,,12,3.0,4,part time,1,40.0,3,2.0,40,,15,6,1965,100071.84,,
82,39,no,non-travel,1032.4872861766066,,3,3,life sciences,83,1,M,,3,3,sales executive,3,divorced,8339.32,21682.23,0,,12,3.0,3,,2,,6,2.0,16,,5,13,1985,100071.84,,si
83,30,no,travel_frequently,1032.4872861766066,,1,1,,84,2,F,,3,3,sales executive,4,married,8339.32,21682.23,1,,14,3.0,4,part time,1,11.0,5,3.0,11,,4,1,1994,100071.84,,
84,56,no,travel_rarely,1964.9603174603176,,1,3,medical,85,4,M,245.6200396825397,3,5,manager,1,single,15870.83,41264.17,0,,14,3.0,3,full time,0,37.0,2,3.0,36,,4,13,1968,190450.0,,si
85,42,no,non-travel,1652.34126984127,,10,4,,86,4,M,,3,4,manager,2,,13345.83,34699.17,1,,19,3.0,2,,0,,2,3.0,22,,0,4,1982,160149.96,,
86,40,no,travel_rarely,991.8174603174604,research & development,1,3,,87,3,M,123.97718253968254,4,3,healthcare representative,4,,8010.83,20828.17,0,no,17,,1,part time,3,19.0,5,2.0,18,,3,7,1984,96130.0,healthcare representative  -  research & development,no
87,39,no,non-travel,1187.5396825396826,,15,2,life sciences,88,3,M,148.44246031746033,2,3,research director,4,,9591.67,24938.33,0,,14,3.0,2,full time,1,,3,3.0,11,,2,9,1985,115100.0,,si
88,44,no,non-travel,1582.7713464696226,,12,3,,89,1,M,,2,4,research director,2,,12783.92,33238.2,1,no,11,3.0,3,full time,1,,3,,25,,3,9,1980,153407.07,,
89,32,no,non-travel,444.26984126984127,,30,2,,90,2,F,,3,2,manufacturing director,1,married,3588.33,9329.67,1,no,12,3.0,2,,1,13.0,5,1.0,13,,3,12,1992,43059.96,,
90,51,no,travel_rarely,1758.7142857142858,research & development,27,4,life sciences,91,2,M,,2,4,manager,3,married,14205.0,36933.0,0,no,15,3.0,2,full time,1,28.0,2,3.0,27,,15,7,1973,170460.0,manager  -  research & development,
91,36,no,non-travel,1032.4872861766066,,25,3,technical degree,92,4,M,129.06091077207583,2,3,manufacturing director,2,married,8339.32,21682.23,3,no,16,,1,part time,0,,2,3.0,13,,4,8,1988,100071.84,,no
92,48,no,non-travel,522.7857142857143,,16,4,,93,3,M,,4,2,manufacturing director,3,,4222.5,10978.5,1,yes,19,3.0,3,,0,20.0,3,,19,,2,7,1976,50670.0,,
93,36,no,non-travel,1032.4872861766066,research & development,25,4,,94,3,F,129.06091077207583,3,3,healthcare representative,3,divorced,8339.32,21682.23,1,yes,11,,3,part time,1,,3,2.0,16,,10,1,1988,100071.84,healthcare representative  -  research & development,si
94,41,no,travel_rarely,1032.4872861766066,,20,4,,95,1,M,129.06091077207583,3,3,healthcare representative,4,married,8339.32,21682.23,4,,20,4.0,4,part time,1,14.0,6,3.0,11,,11,1,1983,100071.84,,si
95,46,no,non-travel,556.2566609977324,sales,9,4,life sciences,96,2,F,,2,2,sales executive,3,married,4492.84,11681.39,1,,13,3.0,4,part time,1,15.0,2,3.0,15,,4,12,1978,53914.11,sales executive  -  sales,no
96,34,no,non-travel,290.03550973654063,research & development,9,3,medical,97,1,M,,3,1,research scientist,4,married,2342.59,6090.75,0,,13,3.0,2,,1,15.0,5,3.0,14,,4,10,1990,28111.13,research scientist  -  research & development,
97,37,no,travel_frequently,380.9206349206349,,3,3,,98,3,M,,3,1,research scientist,2,married,3076.67,7999.33,1,no,12,3.0,3,full time,0,12.0,2,2.0,11,,0,7,1987,36920.0,,
98,46,yes,non-travel,1973.9841269841268,,13,3,marketing,99,1,F,246.74801587301585,1,5,manager,2,,15943.72,41453.67,2,yes,16,3.0,1,full time,0,26.0,2,3.0,24,,1,11,1978,191324.62,,
99,52,no,travel_frequently,2047.7063492063487,,27,3,,100,2,M,255.96329365079364,3,5,manager,2,,16539.17,43001.83,4,yes,24,,1,full time,1,,5,2.0,29,,11,10,1972,198470.0,,no
100,35,no,travel_rarely,238.12698412698413,,7,2,technical degree,101,2,M,,3,1,sales representative,3,,1923.33,5000.67,0,yes,25,4.0,2,part time,1,12.0,4,3.0,11,,5,7,1989,23080.0,,no
101,44,no,travel_rarely,1582.7713464696226,research & development,15,2,,102,3,M,,2,4,research director,3,,12783.92,33238.2,1,no,24,4.0,1,full time,1,,3,3.0,14,,6,11,1980,153407.07,research director  -  research & development,si
102,35,no,non-travel,556.2566609977324,,5,2,medical,103,2,M,,2,2,laboratory technician,4,,4492.84,11681.39,1,no,14,3.0,3,part time,1,,3,,15,,4,13,1989,53914.11,,no
103,39,no,non-travel,290.03550973654063,,2,3,,104,1,M,,3,1,human resources,2,divorced,2342.59,6090.75,5,no,13,3.0,4,part time,3,13.0,3,3.0,11,,3,8,1985,28111.13,,si
104,49,no,non-travel,1973.9841269841268,,10,3,,105,4,M,,2,5,research director,2,,15943.72,41453.67,4,no,12,3.0,4,full time,0,29.0,3,3.0,22,,12,9,1975,191324.62,,no
105,35,no,non-travel,592.9444444444445,research & development,22,4,other,106,3,M,,2,2,research scientist,4,married,4789.17,12451.83,1,yes,15,3.0,2,full time,0,16.0,3,3.0,15,,6,11,1989,57470.0,research scientist  -  research & development,
106,33,no,travel_rarely,1075.2857142857142,,31,4,,107,3,F,134.41071428571428,3,3,sales executive,4,,8685.0,22581.0,1,no,19,3.0,3,full time,2,14.0,3,3.0,14,,5,7,1991,104220.0,,
107,30,no,travel_rarely,1032.4872861766066,,21,4,life sciences,108,2,F,,4,3,manufacturing director,1,divorced,8339.32,21682.23,1,no,11,3.0,3,,1,10.0,1,3.0,10,,8,8,1994,100071.84,,no
108,47,no,non-travel,1032.4872861766066,,1,3,medical,109,3,M,,2,3,healthcare representative,1,married,8339.32,21682.23,2,yes,13,3.0,3,,1,21.0,5,2.0,10,,9,5,1977,100071.84,,
109,31,no,non-travel,654.8492063492064,human resources,9,3,,110,3,M,,3,2,human resources,4,married,5289.17,13751.83,0,yes,19,3.0,4,full time,0,,2,1.0,11,,4,7,1993,63470.0,human resources  -  human resources,no
110,46,no,non-travel,242.25396825396828,,9,3,life sciences,111,2,M,,3,2,laboratory technician,2,,1956.67,5087.33,8,no,18,3.0,3,part time,1,20.0,2,,17,,0,15,1978,23480.0,,
111,31,no,travel_rarely,1032.4872861766066,,5,3,,112,2,F,129.06091077207583,3,3,sales executive,4,,8339.32,21682.23,2,no,12,3.0,3,part time,1,,2,3.0,10,,7,4,1993,100071.84,,
112,31,no,non-travel,316.95238095238096,,9,3,,113,3,M,,3,2,laboratory technician,1,,2560.0,6656.0,1,no,11,,3,part time,2,12.0,4,3.0,12,,6,10,1993,30720.0,,
113,35,no,travel_frequently,556.2566609977324,,29,1,,114,4,M,,2,2,manufacturing director,3,married,4492.84,11681.39,1,,17,3.0,3,,0,10.0,2,2.0,10,,1,9,1989,53914.08,,
114,52,no,travel_rarely,1288.6507936507935,,8,4,life sciences,115,2,M,,2,3,research director,2,married,10408.33,27061.67,5,no,16,3.0,4,full time,2,16.0,5,1.0,10,,4,7,1972,124900.0,,no
115,35,no,non-travel,556.2566609977324,,39,4,life sciences,116,3,M,69.53208262471655,2,2,manufacturing director,1,,4492.84,11681.39,6,,13,3.0,2,part time,1,13.0,3,3.0,11,,5,9,1989,53914.11,,si
116,36,no,travel_rarely,827.4603174603175,,16,3,,117,3,M,,3,3,sales executive,2,married,6683.33,17376.67,0,,15,3.0,3,part time,2,12.0,3,2.0,11,,6,9,1988,80200.0,,si
117,46,no,travel_frequently,1032.4872861766066,,7,3,life sciences,118,1,M,,3,3,laboratory technician,1,,8339.32,21682.23,1,,18,3.0,1,part time,1,24.0,2,3.0,24,,9,11,1978,100071.84,,
118,40,no,non-travel,1760.9841269841272,,10,1,,119,3,M,,3,4,manager,1,married,14223.33,36980.67,1,,14,,4,full time,0,21.0,3,3.0,21,,11,10,1984,170680.0,,
119,32,no,non-travel,922.6904761904764,,7,2,,120,3,F,,2,3,manufacturing director,3,married,7452.5,19376.5,1,no,24,4.0,1,part time,1,10.0,2,3.0,10,,8,9,1992,89430.0,,
120,40,no,non-travel,1988.3809523809523,research & development,7,2,,121,3,M,,2,5,manager,4,married,16060.0,41756.0,1,,15,3.0,1,full time,1,,2,3.0,21,,13,3,1984,192720.0,manager  -  research & development,
121,46,no,travel_rarely,556.2566609977324,,8,4,,122,4,M,69.53208262471655,3,2,research scientist,4,,4492.84,11681.39,9,no,14,3.0,1,part time,2,12.0,3,3.0,10,,9,8,1978,53914.11,,
122,31,no,travel_rarely,556.2566609977324,sales,5,3,marketing,123,4,F,,2,2,sales executive,3,,4492.84,11681.39,1,,13,3.0,3,,3,10.0,2,3.0,10,,1,2,1993,53914.08,sales executive  -  sales,
123,32,no,non-travel,1032.4872861766066,,7,4,medical,124,3,F,129.06091077207583,3,3,manufacturing director,4,,8339.32,21682.23,1,,14,3.0,3,part time,0,11.0,2,2.0,11,,4,10,1992,100071.84,,
124,37,no,non-travel,1032.4872861766066,,3,4,medical,125,1,M,,2,3,sales executive,4,married,8339.32,21682.23,4,no,11,3.0,1,part time,1,16.0,2,3.0,13,,1,12,1987,100071.84,,
125,37,no,travel_rarely,1032.4872861766066,,2,2,,126,2,M,,2,3,sales executive,3,married,8339.32,21682.23,1,,13,3.0,2,part time,2,10.0,2,3.0,10,,9,0,1987,100071.84,,
126,56,no,travel_rarely,1582.7713464696226,,18,5,,127,1,F,197.8464183087028,3,4,manager,2,single,12783.92,33238.2,3,no,23,4.0,4,full time,0,37.0,2,3.0,10,,7,7,1968,153407.07,,si
127,36,no,non-travel,556.2566609977324,,1,3,,128,2,M,,3,2,sales executive,3,,4492.84,11681.39,9,,11,3.0,3,part time,0,15.0,2,3.0,11,,6,9,1988,53914.11,,si
128,43,no,travel_rarely,1032.4872861766066,,24,3,medical,129,4,M,129.06091077207583,3,3,manufacturing director,1,married,8339.32,21682.23,1,,21,4.0,4,part time,1,10.0,5,2.0,10,,5,8,1981,100071.84,,
